Year,District,crime_type,Number,,,,,,
2019,Taraval,HUMAN TRAFFICKING – SEX ACT,3,,,,,,
2019,Taraval,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2019,Taraval,BURGLARY,345,,,,,,
2019,Taraval,MOTOR VEHICLE THEFT,456,,,,,,
2019,Taraval,ARSON,12,,,,,,
2019,Taraval,LARCENY THEFT,"2,847",,,,,,
2018,Taraval,HOMICIDE,5,,,,,,
2018,Taraval,RAPE,19,,,,,,
2018,Taraval,ROBBERY,147,,,,,,
2018,Taraval,ASSAULT,130,,,,,,
2018,Taraval,HUMAN TRAFFICKING – SEX ACT,21,,,,,,
2018,Taraval,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2018,Taraval,BURGLARY,508,,,,,,
2018,Taraval,MOTOR VEHICLE THEFT,405,,,,,,
2018,Taraval,ARSON,11,,,,,,
2018,Taraval,LARCENY THEFT,"2,506",,,,,,
2019,Tenderloin,HOMICIDE,11,,,,,,
2019,Tenderloin,RAPE,35,,,,,,
2019,Tenderloin,ROBBERY,442,,,,,,
2019,Tenderloin,ASSAULT,413,,,,,,
2019,Tenderloin,HUMAN TRAFFICKING – SEX ACT,3,,,,,,
2019,Tenderloin,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2019,Tenderloin,BURGLARY,207,,,,,,
2019,Tenderloin,MOTOR VEHICLE THEFT,160,,,,,,
2019,Tenderloin,ARSON,18,,,,,,
2019,Tenderloin,LARCENY THEFT,"2,531",,,,,,
2018,Tenderloin,HOMICIDE,9,,,,,,
2018,Tenderloin,RAPE,40,,,,,,
2018,Tenderloin,ROBBERY,508,,,,,,
2018,Tenderloin,ASSAULT,386,,,,,,
2018,Tenderloin,HUMAN TRAFFICKING – SEX ACT,3,,,,,,
2018,Tenderloin,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2018,Tenderloin,BURGLARY,245,,,,,,
2018,Tenderloin,MOTOR VEHICLE THEFT,133,,,,,,
2018,Tenderloin,ARSON,23,,,,,,
2018,Tenderloin,LARCENY THEFT,"2,567",,,,,,
2019,Courtesy Reports,HOMICIDE,0,,,,,,
2019,Courtesy Reports,RAPE,16,,,,,,
2019,Courtesy Reports,ROBBERY,2,,,,,,
2019,Courtesy Reports,ASSAULT,7,,,,,,
2019,Courtesy Reports,HUMAN TRAFFICKING – SEX ACT,4,,,,,,
2019,Courtesy Reports,HUMAN TRAFFICKING – INV SERV,1,,,,,,
2019,Courtesy Reports,BURGLARY,3,,,,,,
2019,Courtesy Reports,MOTOR VEHICLE THEFT,18,,,,,,
2019,Courtesy Reports,ARSON,1,,,,,,
2019,Courtesy Reports,LARCENY THEFT,508,,,,,,
2018,Courtesy Reports,HOMICIDE,0,,,,,,
2018,Courtesy Reports,RAPE,9,,,,,,
2018,Courtesy Reports,ROBBERY,8,,,,,,
2018,Courtesy Reports,ASSAULT,2,,,,,,
2018,Courtesy Reports,HUMAN TRAFFICKING – SEX ACT,9,,,,,,
2018,Courtesy Reports,HUMAN TRAFFICKING – INV SERV,2,,,,,,
2018,Courtesy Reports,BURGLARY,4,,,,,,
2018,Courtesy Reports,MOTOR VEHICLE THEFT,15,,,,,,
2018,Courtesy Reports,ARSON,0,,,,,,
2018,Courtesy Reports,LARCENY THEFT,473,,,,,,
